teamname,split,result,totalgold,teamkills,teamdeaths,towers,dragons,barons
INTZ,Split 1,0,60597,7,19,5.0,0.0,0.0
Vivo Keyd,Split 1,1,69374,19,7,7.0,3.0,1.0
Vivo Keyd,Split 1,1,61467,15,2,11.0,3.0,1.0
INTZ,Split 1,0,43126,2,15,0.0,0.0,0.0
CNB e-Sports Club,Split 1,0,51888,9,12,3.0,2.0,0.0
KaBuM! e-Sports,Split 1,1,63554,12,9,8.0,2.0,1.0
KaBuM! e-Sports,Split 1,1,63350,11,5,11.0,2.0,1.0
CNB e-Sports Club,Split 1,0,48380,5,11,1.0,0.0,0.0
paiN Gaming,Split 1,1,87781,16,6,11.0,1.0,2.0
Team oNe eSports,Split 1,0,80048,6,16,2.0,5.0,0.0
Team oNe eSports,Split 1,0,11630,7,11,,,
Team oNe eSports,Split 1,0,11738,7,11,,,
Team oNe eSports,Split 1,0,13597,7,11,,,
Team oNe eSports,Split 1,0,13281,7,11,,,
Team oNe eSports,Split 1,0,9513,7,11,,,
paiN Gaming,Split 1,1,12887,11,7,,,
paiN Gaming,Split 1,1,11867,11,7,,,
paiN Gaming,Split 1,1,14131,11,7,,,
paiN Gaming,Split 1,1,15185,11,7,,,
paiN Gaming,Split 1,1,10021,11,7,,,
Team oNe eSports,Split 1,0,59759,7,11,2.0,1.0,0.0
paiN Gaming,Split 1,1,64091,11,7,11.0,3.0,1.0
RED Canids,Split 1,1,13671,9,0,,,
RED Canids,Split 1,1,10846,9,0,,,
RED Canids,Split 1,1,15597,9,0,,,
RED Canids,Split 1,1,14420,9,0,,,
RED Canids,Split 1,1,9416,9,0,,,
ProGaming Esports,Split 1,0,11477,0,9,,,
ProGaming Esports,Split 1,0,8633,0,9,,,
ProGaming Esports,Split 1,0,10323,0,9,,,
ProGaming Esports,Split 1,0,11720,0,9,,,
ProGaming Esports,Split 1,0,7360,0,9,,,
RED Canids,Split 1,1,63950,9,0,9.0,1.0,2.0
ProGaming Esports,Split 1,0,49513,0,9,1.0,0.0,0.0
ProGaming Esports,Split 1,1,14001,15,3,,,
ProGaming Esports,Split 1,1,14272,15,3,,,
ProGaming Esports,Split 1,1,15774,15,3,,,
ProGaming Esports,Split 1,1,15532,15,3,,,
ProGaming Esports,Split 1,1,10849,15,3,,,
RED Canids,Split 1,0,13052,3,15,,,
RED Canids,Split 1,0,9985,3,15,,,
RED Canids,Split 1,0,12236,3,15,,,
RED Canids,Split 1,0,12741,3,15,,,
RED Canids,Split 1,0,8776,3,15,,,
ProGaming Esports,Split 1,1,70428,15,3,11.0,2.0,2.0
RED Canids,Split 1,0,56790,3,15,1.0,1.0,0.0
RED Canids,Split 1,1,17514,15,15,,,
RED Canids,Split 1,1,14532,15,15,,,
RED Canids,Split 1,1,16021,15,15,,,
RED Canids,Split 1,1,19196,15,15,,,
RED Canids,Split 1,1,12613,15,15,,,
ProGaming Esports,Split 1,0,13485,15,15,,,
ProGaming Esports,Split 1,0,14179,15,15,,,
ProGaming Esports,Split 1,0,15616,15,15,,,
ProGaming Esports,Split 1,0,20346,15,15,,,
ProGaming Esports,Split 1,0,12461,15,15,,,
RED Canids,Split 1,1,79876,15,15,9.0,4.0,1.0
ProGaming Esports,Split 1,0,76087,15,15,6.0,1.0,1.0
RED Canids,Split 1,1,15256,24,12,,,
RED Canids,Split 1,1,13830,24,12,,,
RED Canids,Split 1,1,17055,24,12,,,
RED Canids,Split 1,1,19216,24,12,,,
RED Canids,Split 1,1,12879,24,12,,,
CNB e-Sports Club,Split 1,0,13863,12,24,,,
CNB e-Sports Club,Split 1,0,11150,12,24,,,
CNB e-Sports Club,Split 1,0,14415,12,24,,,
CNB e-Sports Club,Split 1,0,14635,12,24,,,
CNB e-Sports Club,Split 1,0,10209,12,24,,,
RED Canids,Split 1,1,78236,24,12,11.0,2.0,2.0
CNB e-Sports Club,Split 1,0,64272,12,24,4.0,2.0,0.0
CNB e-Sports Club,Split 1,0,9354,5,14,,,
CNB e-Sports Club,Split 1,0,8450,5,14,,,
CNB e-Sports Club,Split 1,0,9383,5,14,,,
CNB e-Sports Club,Split 1,0,9674,5,14,,,
CNB e-Sports Club,Split 1,0,7275,5,14,,,
RED Canids,Split 1,1,13488,14,5,,,
RED Canids,Split 1,1,10205,14,5,,,
RED Canids,Split 1,1,13508,14,5,,,
RED Canids,Split 1,1,14489,14,5,,,
RED Canids,Split 1,1,9353,14,5,,,
CNB e-Sports Club,Split 1,0,44136,5,14,2.0,0.0,0.0
RED Canids,Split 1,1,61043,14,5,10.0,2.0,1.0
Team oNe eSports,Split 1,0,10186,3,11,,,
Team oNe eSports,Split 1,0,8186,3,11,,,
Team oNe eSports,Split 1,0,10212,3,11,,,
Team oNe eSports,Split 1,0,11242,3,11,,,
Team oNe eSports,Split 1,0,7574,3,11,,,
INTZ,Split 1,1,12084,11,3,,,
INTZ,Split 1,1,10571,11,3,,,
INTZ,Split 1,1,12603,11,3,,,
INTZ,Split 1,1,12807,11,3,,,
INTZ,Split 1,1,8060,11,3,,,
Team oNe eSports,Split 1,0,47400,3,11,1.0,0.0,0.0
INTZ,Split 1,1,56125,11,3,8.0,2.0,1.0
INTZ,Split 1,0,20242,29,17,,,
INTZ,Split 1,0,17447,29,17,,,
INTZ,Split 1,0,26238,29,17,,,
INTZ,Split 1,0,24644,29,17,,,
INTZ,Split 1,0,15869,29,17,,,
Team oNe eSports,Split 1,1,24162,17,29,,,
Team oNe eSports,Split 1,1,16864,17,29,,,
Team oNe eSports,Split 1,1,21851,17,29,,,
Team oNe eSports,Split 1,1,27226,17,29,,,
Team oNe eSports,Split 1,1,16317,17,29,,,
INTZ,Split 1,0,104440,29,17,7.0,1.0,2.0
Team oNe eSports,Split 1,1,106420,17,29,11.0,5.0,2.0
Team oNe eSports,Split 1,1,13178,13,5,,,
Team oNe eSports,Split 1,1,12398,13,5,,,
Team oNe eSports,Split 1,1,12779,13,5,,,
Team oNe eSports,Split 1,1,18323,13,5,,,
Team oNe eSports,Split 1,1,12041,13,5,,,
INTZ,Split 1,0,10649,5,13,,,
INTZ,Split 1,0,11308,5,13,,,
INTZ,Split 1,0,13192,5,13,,,
INTZ,Split 1,0,14240,5,13,,,
INTZ,Split 1,0,8260,5,13,,,
Team oNe eSports,Split 1,1,68719,13,5,11.0,2.0,1.0
INTZ,Split 1,0,57649,5,13,0.0,1.0,0.0
Vivo Keyd,Split 1,0,9959,1,9,,,
Vivo Keyd,Split 1,0,9594,1,9,,,
Vivo Keyd,Split 1,0,12111,1,9,,,
Vivo Keyd,Split 1,0,12256,1,9,,,
Vivo Keyd,Split 1,0,8569,1,9,,,
ProGaming Esports,Split 1,1,10984,9,1,,,
ProGaming Esports,Split 1,1,10482,9,1,,,
ProGaming Esports,Split 1,1,12400,9,1,,,
ProGaming Esports,Split 1,1,15858,9,1,,,
ProGaming Esports,Split 1,1,10284,9,1,,,
Vivo Keyd,Split 1,0,52489,1,9,1.0,0.0,0.0
ProGaming Esports,Split 1,1,60008,9,1,11.0,4.0,1.0
ProGaming Esports,Split 1,1,10345,15,4,,,
ProGaming Esports,Split 1,1,10178,15,4,,,
ProGaming Esports,Split 1,1,13741,15,4,,,
ProGaming Esports,Split 1,1,14151,15,4,,,
ProGaming Esports,Split 1,1,8871,15,4,,,
Vivo Keyd,Split 1,0,9833,4,15,,,
Vivo Keyd,Split 1,0,9031,4,15,,,
Vivo Keyd,Split 1,0,9977,4,15,,,
Vivo Keyd,Split 1,0,11144,4,15,,,
Vivo Keyd,Split 1,0,7538,4,15,,,
ProGaming Esports,Split 1,1,57286,15,4,10.0,0.0,1.0
Vivo Keyd,Split 1,0,47523,4,15,3.0,2.0,0.0
KaBuM! e-Sports,Split 1,1,16393,15,5,,,
KaBuM! e-Sports,Split 1,1,11657,15,5,,,
KaBuM! e-Sports,Split 1,1,13712,15,5,,,
KaBuM! e-Sports,Split 1,1,16687,15,5,,,
KaBuM! e-Sports,Split 1,1,10743,15,5,,,
paiN Gaming,Split 1,0,10066,5,15,,,
paiN Gaming,Split 1,0,9609,5,15,,,
paiN Gaming,Split 1,0,13168,5,15,,,
paiN Gaming,Split 1,0,12254,5,15,,,
paiN Gaming,Split 1,0,8457,5,15,,,
KaBuM! e-Sports,Split 1,1,69192,15,5,8.0,2.0,2.0
paiN Gaming,Split 1,0,53554,5,15,1.0,1.0,0.0
paiN Gaming,Split 1,1,12616,11,1,,,
paiN Gaming,Split 1,1,11572,11,1,,,
paiN Gaming,Split 1,1,14387,11,1,,,
paiN Gaming,Split 1,1,16257,11,1,,,
paiN Gaming,Split 1,1,10245,11,1,,,
KaBuM! e-Sports,Split 1,0,12734,1,11,,,
KaBuM! e-Sports,Split 1,0,11093,1,11,,,
KaBuM! e-Sports,Split 1,0,12025,1,11,,,
KaBuM! e-Sports,Split 1,0,13632,1,11,,,
KaBuM! e-Sports,Split 1,0,9295,1,11,,,
paiN Gaming,Split 1,1,65077,11,1,7.0,2.0,1.0
KaBuM! e-Sports,Split 1,0,58779,1,11,4.0,1.0,1.0
KaBuM! e-Sports,Split 1,1,16393,7,1,,,
KaBuM! e-Sports,Split 1,1,11715,7,1,,,
KaBuM! e-Sports,Split 1,1,13523,7,1,,,
KaBuM! e-Sports,Split 1,1,13477,7,1,,,
KaBuM! e-Sports,Split 1,1,9888,7,1,,,
paiN Gaming,Split 1,0,9716,1,7,,,
paiN Gaming,Split 1,0,8544,1,7,,,
paiN Gaming,Split 1,0,10447,1,7,,,
paiN Gaming,Split 1,0,11323,1,7,,,
paiN Gaming,Split 1,0,7878,1,7,,,
KaBuM! e-Sports,Split 1,1,64996,7,1,10.0,4.0,2.0
paiN Gaming,Split 1,0,47908,1,7,1.0,0.0,0.0
CNB e-Sports Club,Split 1,1,13615,8,14,,,
CNB e-Sports Club,Split 1,1,11766,8,14,,,
CNB e-Sports Club,Split 1,1,20574,8,14,,,
CNB e-Sports Club,Split 1,1,16099,8,14,,,
CNB e-Sports Club,Split 1,1,9025,8,14,,,
paiN Gaming,Split 1,0,15165,14,8,,,
paiN Gaming,Split 1,0,13115,14,8,,,
paiN Gaming,Split 1,0,14937,14,8,,,
paiN Gaming,Split 1,0,16554,14,8,,,
paiN Gaming,Split 1,0,10156,14,8,,,
CNB e-Sports Club,Split 1,1,71079,8,14,9.0,0.0,1.0
paiN Gaming,Split 1,0,69927,14,8,5.0,3.0,1.0
paiN Gaming,Split 1,1,14522,13,10,,,
paiN Gaming,Split 1,1,12664,13,10,,,
paiN Gaming,Split 1,1,15596,13,10,,,
paiN Gaming,Split 1,1,15982,13,10,,,
paiN Gaming,Split 1,1,10475,13,10,,,
CNB e-Sports Club,Split 1,0,13660,10,13,,,
CNB e-Sports Club,Split 1,0,10067,10,13,,,
CNB e-Sports Club,Split 1,0,14361,10,13,,,
CNB e-Sports Club,Split 1,0,15311,10,13,,,
CNB e-Sports Club,Split 1,0,8848,10,13,,,
paiN Gaming,Split 1,1,69239,13,10,8.0,2.0,2.0
CNB e-Sports Club,Split 1,0,62247,10,13,4.0,1.0,0.0
CNB e-Sports Club,Split 1,1,11572,12,4,,,
CNB e-Sports Club,Split 1,1,9618,12,4,,,
CNB e-Sports Club,Split 1,1,13399,12,4,,,
CNB e-Sports Club,Split 1,1,12741,12,4,,,
CNB e-Sports Club,Split 1,1,6689,12,4,,,
paiN Gaming,Split 1,0,9900,4,12,,,
paiN Gaming,Split 1,0,7792,4,12,,,
paiN Gaming,Split 1,0,10598,4,12,,,
